"Amor","lrb"
"Amor Artificial","lrb"
"Amor Esperame","cub"
"Amor Sonador","jlt"
"An Oscar For Treadwell","jlt"
"An Oscar For Treadwell","lib"
"Ana Maria","nr1"
"Ana Maria","rb1"
"Anatelio","lrb"
"Anchors Aweigh","agz"
"And All That Jazz","jfk"
"And I Love Her","tbk"
"And I Think About It All The Time","hlr"
"And It All Goes Round And Round","nr3"
"And Now The Queen","rb1"
"And On The Third Day","rb1"
"And The Angels Sing","srb"
"And The Angels Sing","tbk"
"And The Angels Sing","agz"
"Anda Ven Y Muevete","lrb"
"Andalucia","cub"
"Angel Eyes","agz"
"Angel Eyes","col"
"Angel Eyes","jfk"
"Angel Eyes","rb1"
"Angel Eyes","nr1"
"Angela","rb3"
"Angoa","lrb"
"Angry","agz"
"Annie Laurie","agz"
"Anniversary Song","tbk"
"Anniversary Waltz","tbk"
"Another Hairdo","jfk"
"Another Kind Of Soul","lib"
"Another Star","rb2"
"Another Star","tob"
"Another Star","nr3"
"Another Time","nr3"
"Anthropology","agz"
"Anthropology","col"
"Anthropology","hlr"
"Anthropology","nr1"
"Anthropology","rb1"
"Anti Climax","jlt"
"Antigua","col"
"Antigua","hlr"
"Anything Goes","tbk"
"Anything Goes","srb"
"Anything Goes","agz"
"Anytime","tbk"
"Aparecida","lrb"
"Apex Blues","agz"
"Applause","tbk"
"Apple Core","jfk"
"Apple Honey","jfk"
"Appointment In Ghana","nr3"
"April","rb2"
"April Head","jlt"
"April In Paris","hlr"
"April In Paris","rb1"
"April In Paris","tbk"
"April Joy","rb1"
"April Showers","tbk"
"April Skids","rb2"
"April Skies","tob"
"April In Paris","agz"
"April Showers","agz"
"Aquarius","jlt"
"Aquella Tarde","cub"
"Aqui Oh","lrb"
"Arallue","lrb"
"Are They Only Dreams","jlt"
"Are You Havin Any Fun","hlr"
"Are You Ready","tob"
"Arent You Glad Youre You","jfk"
"Arietas","nr3"
"Arise Her Eyes","rb1"
"Arkansas Blues","agz"
"Armageddon","rb1"
"Armandos Rhumba","hlr"
"Armandos Rhumba","rb3"
"Armandos Rumba","lrb"
"Around Again","rb1"
"Around The World","tbk"
"Arrivederci Roma","tbk"
"Arriving Soon","jlt"
"Artists Life","tbk"
"As Catch Can","jfk"
"As Long As He Needs Me","tbk"
"As Long As I Have You","blu"
"As Long As I Live","hlr"
"As Time Goes By","blu"
"As Time Goes By","rb1"
"As Time Goes By","tbk"
"As Time Goes By","srb"
"As We Speak","srb"
"As Long As I Live","agz"
"As Time Goes By","agz"
"Ashes To Ashes","hlr"
"Ask Me Now","rb2"
"At Last","jlt"
"At Last","srb"
"At Long Last Love","hlr"
"At Long Last Love","srb"
"At A Georgia Camp Meeting","agz"
"Atras De Nos","lrb"
"Au Privave","jfk"
"Au Privave","rb1"
"Au Privave","lib"
"Auf Der Reeperbahn","tbk"
"Aunt Hagars Blues","hlr"
"Autumn (tis)","agz"
"Autumn In 3","rb3"
"Autumn In New York","hlr"
"Autumn In New York","rb1"
"Autumn In New York","tbk"
"Autumn Leaves","blu"
"Autumn Leaves","col"
"Autumn Leaves","jfk"
"Autumn Leaves","nr1"
"Autumn Leaves","rb1"
"Autumn Leaves","tbk"
"Autumn Liebs","jlt"
"Autumn Nocturne","rb3"
"Autumn Nocturne","srb"
"Autumn Serenade","nr3"
"Avalon","agz"
"Avalon","col"
"Avalon","rb2"
"Avalon","tob"
"Avalon Place","rb3"
