0 18 17 19 0 2 0 19 0 19 0 19 0 19 19 0 0 41 0 41 0 40 40 40 0 40 41 40 0 0 8 19 0 19 19 17 0 1 2 19 19 19 0 0 35 0 0 19 3 35 
0 0 18 0 3 0 3 0 19 19 19 19 2 19 18 0 42 0 0 0 0 0 41 40 32 41 0 41 0 0 0 40 40 0 40 0 19 0 19 0 35 35 18 0 3 0 35 35 35 18 
35 0 0 19 0 19 19 3 0 2 19 2 0 0 19 19 0 42 42 0 43 0 0 0 0 40 41 0 12 34 0 0 0 0 19 1 0 19 19 35 35 3 0 0 35 1 35 0 0 35 
19 19 19 19 0 0 19 19 18 40 2 0 19 0 0 0 0 42 8 43 0 8 41 0 8 40 0 41 41 0 34 2 19 0 19 19 16 19 0 0 0 0 0 0 35 35 2 0 35 0 
0 19 19 19 1 8 0 19 40 40 0 4 19 19 2 2 0 19 43 9 0 40 0 0 0 0 40 0 1 0 0 16 0 19 19 19 16 19 19 0 35 35 35 0 0 0 40 35 0 2 
0 0 19 0 0 9 0 2 40 0 19 19 0 0 19 2 19 19 2 9 0 40 40 40 0 0 0 40 40 0 0 0 0 0 19 0 19 2 19 19 0 35 0 35 0 40 0 0 0 2 
0 40 16 32 32 32 40 1 19 2 0 19 3 19 3 0 0 19 0 40 0 40 0 8 0 40 40 40 0 35 1 0 19 19 0 0 19 19 0 1 3 1 35 0 0 0 19 0 40 0 
0 42 40 40 40 40 32 0 19 19 19 0 19 0 0 0 19 0 0 40 0 0 0 32 40 40 0 40 0 18 19 19 0 19 3 19 48 0 19 3 1 0 0 2 0 0 0 40 40 0 
40 40 40 0 40 40 0 0 40 0 19 19 18 19 0 0 40 0 40 40 0 8 40 40 40 0 40 8 19 0 18 19 2 80 19 19 0 19 0 19 0 3 0 32 19 19 19 0 40 40 
40 32 40 0 0 0 0 40 0 19 34 0 0 0 0 0 0 0 32 40 2 40 40 0 40 40 40 19 19 19 19 0 80 0 0 0 0 3 0 19 0 19 1 0 1 1 0 0 40 40 
40 32 19 40 40 0 40 0 34 34 0 0 40 40 40 40 40 32 0 0 0 40 0 40 40 0 40 40 40 19 0 80 3 0 1 0 0 19 19 3 0 3 19 0 40 40 40 40 0 8 
0 19 19 0 0 0 0 2 34 34 0 1 34 0 40 0 40 0 0 0 0 34 0 0 0 1 0 0 0 0 81 19 80 64 0 0 2 0 0 19 19 0 19 0 40 0 40 0 40 40 
0 0 19 0 34 40 0 34 34 34 0 34 34 0 40 0 0 40 0 40 0 0 34 40 0 41 40 0 0 1 19 0 0 0 80 0 41 2 19 64 80 19 0 0 40 40 0 0 40 0 
40 19 0 34 34 0 34 0 34 34 34 34 1 0 0 35 34 34 2 34 80 80 80 0 80 41 0 40 40 0 0 1 80 80 0 73 1 41 80 80 80 19 3 0 0 40 40 0 40 40 
34 0 0 0 34 1 34 0 34 34 0 2 0 35 0 35 35 34 64 34 0 80 80 80 80 41 41 0 1 0 0 0 0 80 1 80 64 41 80 80 0 80 80 0 0 40 40 40 40 40 
0 0 0 0 3 19 0 34 19 34 34 35 34 35 0 1 0 0 80 1 16 80 0 82 41 40 0 0 1 80 0 0 80 80 80 0 41 0 41 16 80 80 80 0 0 40 3 0 0 40 
0 0 3 1 19 19 0 0 34 34 35 1 35 0 1 0 0 0 80 80 1 80 80 80 80 1 0 80 0 0 40 80 80 80 1 16 80 0 80 0 0 0 0 34 34 0 16 1 19 0 
19 3 0 1 19 0 19 0 2 1 0 35 0 35 40 34 34 0 80 80 80 80 80 80 1 0 80 0 0 0 41 0 80 1 0 80 0 0 80 0 40 0 1 0 0 0 1 19 19 19 
19 3 19 0 17 19 0 19 0 34 34 19 32 40 41 41 41 0 41 0 1 0 1 80 0 80 64 41 41 0 41 40 0 0 0 0 0 0 0 80 0 0 0 0 0 19 3 0 19 19 
0 19 19 0 0 0 1 19 19 0 19 34 19 0 0 0 0 1 0 0 80 0 80 80 80 80 80 40 41 0 1 0 0 0 80 1 0 0 0 0 41 32 34 0 19 34 34 0 0 17 
0 19 19 0 19 19 19 19 0 19 19 19 40 40 0 41 16 0 0 80 0 80 80 16 80 80 0 80 16 0 16 1 0 0 41 0 0 40 41 0 41 34 32 0 0 34 0 19 0 19 
0 3 19 19 0 19 19 0 19 19 19 19 17 41 0 0 80 64 80 80 16 80 80 0 16 1 80 80 80 0 80 80 0 0 0 1 1 41 41 0 34 6 34 0 16 0 18 0 0 0 
