# Avida count data
# Sun Nov  7 22:11:30 2010
#  1: update
#  2: number of insts executed this update
#  3: number of organisms
#  4: number of different genotypes
#  5: number of different threshold genotypes
#  6: number of different species
#  7: number of different threshold species
#  8: number of different lineages
#  9: number of births in this update
# 10: number of deaths in this update
# 11: number of breed true
# 12: number of breed true organisms?
# 13: number of no-birth organisms
# 14: number of single-threaded organisms
# 15: number of multi-threaded organisms
# 16: number of modified organisms

7400 3000 100 68 12 0 0 0 7 7 3 51 54 100 0 0 
7500 3000 100 69 13 0 0 0 7 7 5 46 53 100 0 0 
7600 2970 99 75 11 0 0 0 5 5 1 43 56 99 0 0 
7700 3000 100 69 14 0 0 0 1 1 1 48 57 100 0 0 
7800 3000 100 80 12 0 0 0 6 6 2 38 54 100 0 0 
7900 3000 99 71 9 0 0 0 5 6 2 40 47 99 0 0 
8000 3000 100 72 12 0 0 0 4 4 2 50 58 100 0 0 
8100 3000 100 69 11 0 0 0 6 6 5 50 54 100 0 0 
8200 3000 100 84 11 0 0 0 5 5 1 33 58 100 0 0 
8300 2970 100 71 11 0 0 0 13 12 7 48 53 100 0 0 
8400 3000 100 70 11 0 0 0 8 8 4 45 50 100 0 0 
8500 3000 100 70 12 0 0 0 16 16 5 44 56 100 0 0 
8600 3000 99 63 14 0 0 0 5 6 3 48 54 99 0 0 
8700 2970 99 72 12 0 0 0 0 0 0 42 54 99 0 0 
8800 3000 100 64 12 0 0 0 8 8 4 56 56 100 0 0 
8900 3000 100 80 11 0 0 0 4 4 1 37 56 100 0 0 
9000 3000 100 69 13 0 0 0 11 11 7 50 57 100 0 0 
9100 3000 100 74 11 0 0 0 1 1 1 42 56 100 0 0 
9200 3000 100 77 11 0 0 0 3 3 2 41 60 100 0 0 
9300 2970 99 80 11 0 0 0 12 12 5 32 51 99 0 0 
9400 3000 100 80 13 0 0 0 4 4 2 39 57 100 0 0 
9500 3000 100 65 14 0 0 0 3 3 1 50 57 100 0 0 
9600 3000 100 70 16 0 0 0 2 2 1 54 57 100 0 0 
9700 3000 100 79 14 0 0 0 8 8 3 40 57 100 0 0 
9800 3000 100 73 10 0 0 0 6 6 4 45 57 100 0 0 
9900 3000 100 73 10 0 0 0 6 6 2 45 56 100 0 0 
10000 3000 100 71 9 0 0 0 7 7 3 48 52 100 0 0 
