# Avida Dominant Data
# Sun Nov  7 22:11:30 2010
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

5000 776 361 2.14958 0.00277008 102 102 97 5 0 0 99 0 2.17778 14412 102-aaacw 
5100 720 360 2 0.00277778 101 101 90 6 0 0 103 0 2.16156 14918 101-aaaip 
5200 414 362.5 1.14085 0.00275863 102 102 92 4 0 0 105 0 2.14958 15256 102-aaadi 
5300 576 358 1.60894 0.0027933 101 101 96 6 0 0 101 0 2.14525 15492 101-aaaje 
5400 628.625 361 1.74134 0.00277008 101 101 94 6 0 0 106 0 2.16156 15777 101-aaajh 
5500 760 364 2.08791 0.00274725 101 101 95 7 2 1 103 0 2.10989 16083 101-aaajl 
5600 744 362 2.05525 0.00276243 101 101 93 8 1 1 109 0 2.13624 16225 101-aaajp 
5700 752 355 2.11831 0.0028169 100 100 94 7 0 0 108 0 2.11831 16703 100-aaaku 
5800 752 355 2.11831 0.0028169 100 100 94 6 3 1 108 0 2.12603 16703 100-aaaku 
5900 752 355 2.11831 0.0028169 100 100 94 7 0 0 108 0 2.14795 16703 100-aaaku 
6000 752 358 2.10056 0.0027933 100 100 94 4 0 0 109 0 2.31325 17433 100-aaalb 
6100 736 358 2.05587 0.0027933 99 99 92 5 0 0 109 0 2.13774 16985 099-aaael 
6200 728 358 2.03352 0.0027933 98 98 91 4 0 0 117 0 2.11699 18115 098-aaabv 
6300 744 357 2.08403 0.00280112 99 99 93 6 1 0 120 0 2.10989 18451 099-aaaff 
6400 611 369 1.65583 0.00271003 101 101 94 5 0 0 118 0 2.11966 18754 101-aaakm 
6500 752 357 2.10644 0.00280112 99 99 94 10 0 0 123 0 2.11236 18957 099-aaafj 
6600 736 353 2.08499 0.00283286 98 98 92 10 3 3 124 0 2.12429 19212 098-aaaci 
6700 752 354 2.12429 0.00282486 99 99 94 5 0 0 124 0 2.4 19441 099-aaafs 
6800 728 352 2.06818 0.00284091 96 96.3939 91 6 0 0 126 0 2.12429 19757 096-aaabd 
6900 752 356 2.11236 0.00280899 99 99.0588 94 5 0 0 131 0 2.28221 20063 099-aaage 
7000 728 349 2.08596 0.00286533 95 95 91 4 0 0 128 0 2.15126 20316 095-aaaad 
7100 736 354 2.0791 0.00282486 98 98 92 4 0 0 134 0 2.15126 20864 098-aaadg 
7200 768 357 2.15126 0.00280112 100 100 96 6 0 0 129 0 4.16 20811 100-aaanc 
7300 1440 349 4.12607 0.00286533 95 95 90 7 3 1 135 0 4.19597 21526 095-aaaaq 
7400 1424 345 4.12754 0.00289855 94 94 89 7 1 1 137 0 4.19597 21664 094-aaaae 
7500 1183.2 335.8 3.52205 0.00297797 92 92 87 6 0 0 142 0 4.16374 22119 092-aaaaa 
7600 1408 343 4.10496 0.00291545 94 94 88 8 0 0 139 0 4.18018 22139 094-aaaai 
7700 1408 343 4.10496 0.00291545 94 94 88 10 0 0 139 0 4.18018 22139 094-aaaai 
7800 1392 341 4.08211 0.00293255 94 94 87 5 0 0 140 0 4.14986 22899 094-aaaav 
7900 1392 340 4.09412 0.00294118 94 94 87 5 0 0 143 0 4.14986 23408 094-aaaba 
8000 1392 340 4.09412 0.00294118 94 94 87 6 0 0 144 0 4.12903 23560 094-aaabc 
8100 1392 344 4.04651 0.00290698 95 95 87 5 0 0 144 0 4.13636 23987 095-aaabx 
8200 688 343 2.00583 0.00291545 95 95 86 3 0 0 145 0 4.11009 24366 095-aaacc 
8300 1344 327 4.11009 0.0030581 90 90 84 6 3 3 153 0 4.12607 24641 090-aaaad 
8400 1344 327 4.11009 0.0030581 90 90 84 6 0 0 152 0 4.14634 24297 090-aaaab 
8500 1344 327 4.11009 0.0030581 90 90 84 6 0 0 154 0 4.15902 24866 090-aaaag 
8600 1392 344 4.04651 0.00290698 94 94 87 6 1 1 151 0 4.18824 25608 094-aaabs 
8700 1344 327 4.11009 0.0030581 90 90 84 5 0 0 153 0 4.11009 25795 090-aaaal 
8800 1392 344 4.04651 0.00290698 94 94 87 8 1 0 153 0 4.14634 25756 094-aaabw 
8900 1312 325 4.03692 0.00307692 89 88.6111 82 5 0 0 159 0 4.14815 26428 089-aaaak 
9000 1312 325 4.03692 0.00307692 89 88.9127 82 11 1 1 159 0 4.15902 26428 089-aaaak 
9100 1376 337 4.08309 0.00296736 93 93.1515 86 6 0 0 157 0 4.17178 26469 093-aaaan 
9200 1376 338 4.07101 0.00295858 93 93 86 7 0 0 161 0 4.16099 27394 093-aaaax 
9300 1376 337 4.08309 0.00296736 93 93 86 5 1 1 160 0 4.13056 27736 093-aaabd 
9400 1376 338 4.07101 0.00295858 94 94 86 4 0 0 160 0 4.15522 27782 094-aaacv 
9500 1376 337 4.08309 0.00296736 93 93 86 6 0 0 163 0 4.13953 28196 093-aaabu 
9600 1344 330 4.07273 0.0030303 92 92 84 6 0 0 164 0 4.15522 28324 092-aaaay 
9700 1376 338 4.07101 0.00295858 93 93 86 4 0 0 166 0 4.1571 28984 093-aaach 
9800 1392 339 4.10619 0.00294985 93 93 87 5 0 0 170 0 4.1697 29194 093-aaacq 
9900 1376 337 4.08309 0.00296736 93 93 86 9 2 1 167 0 4.16766 29460 093-aaacv 
10000 1376 331 4.1571 0.00302115 91 91 86 8 0 0 170 0 4.19277 29611 091-aaaat 
