# Avida Average Data
# Sun Nov  7 22:11:30 2010
#  1: Update
#  2: Merit
#  3: Gestation Time
#  4: Fitness
#  5: Repro Rate?
#  6: Size
#  7: Copied Size
#  8: Executed Size
#  9: Abundance
# 10: Proportion of organisms that gave birth in this update
# 11: Proportion of Breed True Organisms
# 12: Genotype Depth
# 13: Generation
# 14: Neutral Metric
# 15: Lineage Label
# 16: True Replication Rate (based on births/update, time-averaged)

4100 326.13 365.84 0.890053 0 101.48 100.97 94.72 1.40845 0.02 0.01 84.23 379.34 11.9891 0 0.431853 
4200 388.242 365.323 1.07554 0 101.172 99.0606 92.8586 1.28571 0.010101 0.010101 86.3838 399.98 17.4726 0 0.476812 
4300 458.153 358.378 1.28064 0 100.867 100.316 93.2347 1.225 0.0714286 0.0306122 89.6735 420.204 21.4095 0 0.565471 
4400 488.92 372.2 1.34577 0 101.03 100.47 93.54 1.31579 0.11 0.06 91.18 436.75 16.2438 0 0.649124 
4500 590.49 362.2 1.62771 0 101.55 101.18 95.28 1.33333 0.04 0.01 91.9 449.1 14.4364 0 0.764219 
4600 538.404 358.707 1.492 0 101.02 100.02 92.3131 1.33784 0.010101 0.010101 94.0707 460.475 18.3616 0 0.861345 
4700 547.56 371.29 1.50876 0 102.68 100.5 94.55 1.25 0.04 0.02 95.24 471.82 23.8869 0 0.928624 
4800 506.87 362.15 1.39797 0 101.65 99.83 92.22 1.25 0.02 0.01 98.78 483.16 26.1376 0 0.942076 
4900 483.43 360.58 1.33919 0 101.24 100.2 94.44 1.25 0 0 99.99 495.83 26.4824 0 0.936845 
5000 531.55 361.66 1.47501 0 100.89 100.4 92.87 1.2987 0.01 0.01 101.93 508.96 29.6514 0 0.90155 
5100 548.606 359.697 1.52105 0 100.687 100.727 92.697 1.45588 0.131313 0.0707071 103.051 520.677 31.0891 0 0.885334 
5200 457.15 361.05 1.26686 0 102.79 100.29 91.64 1.26582 0.08 0.01 104.83 531.5 31.8948 0 0.894697 
5300 554.54 363.21 1.53881 0 101.67 100.23 90.66 1.49254 0.05 0.02 105.69 543.66 34.5761 0 0.895897 
5400 534.293 360.848 1.4804 0 100.929 100.929 93.8182 1.375 0.151515 0.0808081 105.869 555.414 36.53 0 0.917437 
5500 541.07 367.7 1.49907 0 100.51 100.02 92.47 1.26582 0.08 0.04 107.72 566.8 36.5999 0 0.932201 
5600 577.84 361.3 1.59822 0 101.84 100.55 92.56 1.42857 0.07 0.05 108.27 578.26 34.2319 0 0.947862 
5700 540.1 366.77 1.48181 0 102.52 100.16 92.38 1.40845 0.02 0.01 109.44 590.26 33.408 0 0.934813 
5800 492.89 360.26 1.37131 0 100.65 100.11 92.07 1.35135 0.07 0.02 110.48 601.9 35.0938 0 0.932906 
5900 580.98 360.34 1.6109 0 100.47 100.45 93.78 1.36986 0.1 0.05 112.06 615.14 38.9368 0 0.918554 
6000 564.67 354.53 1.58651 0 100.02 97.8 89.92 1.25 0.02 0.01 112.94 628.16 39.8638 0 0.914393 
6100 560.22 362.34 1.54794 0 100 98.98 91.79 1.38889 0.04 0.01 113.36 638.59 43.3878 0 0.893009 
